ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-6111N|uniprotkb:P01887	DIP-6110N|refseq:NP_034510|uniprotkb:P01900	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:9729040|pubmed:DIP-1629S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10983E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6118N|refseq:NP_034101|uniprotkb:P09920	DIP-5788N|refseq:NP_000751|uniprotkb:Q99062	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:1701053|pubmed:DIP-1637S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10990E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6121N|refseq:NP_034510|uniprotkb:P01899	DIP-6111N|uniprotkb:P01887	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:9892618|pubmed:DIP-1640S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10993E	dip-quality-status:core	dip:0002(small scale)		-
DIP-576N|uniprotkb:P04150	DIP-899N|refseq:NP_032278|uniprotkb:P30681	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9671457|pubmed:DIP-1543S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10850E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5965N|uniprotkb:P03372	DIP-5988N|refseq:NP_034569|uniprotkb:P07155	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:9671457|pubmed:DIP-1543S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10845E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6031N|uniprotkb:Q61851	DIP-6032N|refseq:NP_038546|uniprotkb:P54130	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10574949|pubmed:DIP-1577S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10927E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5873N|refseq:NP_057686|uniprotkb:P46092	DIP-5905N|uniprotkb:Q9Z1X0	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10725697|pubmed:DIP-1356S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10558E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6004N|refseq:NP_033150|uniprotkb:P54254	DIP-6005N|uniprotkb:P46406	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:8872471|pubmed:DIP-1562S	taxid:10090(Mus musculus)	taxid:9986(Oryctolagus cuniculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10900E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6087N|refseq:NP_032888|uniprotkb:P63248	DIP-6086N|refseq:NP_032880|uniprotkb:P05132	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0065(isothermal titration calorimetry)|MI:0077(nuclear magnetic resonance)	-	pubmed:8443157|pubmed:DIP-1615S|pubmed:26833386|pubmed:DIP-18006S|pubmed:26833386|pubmed:DIP-18006S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-10968E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-6127N|uniprotkb:P11609	DIP-6111N|uniprotkb:P01887	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:9219685|pubmed:DIP-17995S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10999E	dip-quality-status:core	dip:0004(small scale)		-
DIP-6133N|uniprotkb:P01910	DIP-6134N|uniprotkb:P06343	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:10583947|pubmed:DIP-1657S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-11004E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6111N|uniprotkb:P01887	DIP-6189N|refseq:NP_001001892|uniprotkb:P01901	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:10023770|pubmed:DIP-1697S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-11039E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6219N|uniprotkb:Q04207	DIP-85N|refseq:NP_032715|uniprotkb:P25799	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19887633|pubmed:DIP-12929S|pubmed:19887633|pubmed:DIP-12929S|pubmed:9450761|pubmed:DIP-1714S|pubmed:19887633|pubmed:DIP-12929S|pubmed:20740013|pubmed:DIP-14819S|pubmed:21220295|pubmed:DIP-16022S|pubmed:20740013|pubmed:DIP-14819S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11056E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-6238N|refseq:NP_033478|uniprotkb:P43488	DIP-6239N|uniprotkb:P47741	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:9030600|pubmed:DIP-1729S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-11074E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6249N|refseq:NP_062291	DIP-2928N|refseq:NP_002333|uniprotkb:P36941	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9739048|pubmed:DIP-1737S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-11084E	dip-quality-status:core	dip:0002(small scale)		-
DIP-252N|refseq:NP_031586|uniprotkb:P36898	DIP-5800N|refseq:NP_001710|uniprotkb:P18075	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9261125|pubmed:DIP-1734S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-11081E	dip-quality-status:core	dip:0002(small scale)		-
DIP-17024N|uniprotkb:P46061	DIP-29078N|uniprotkb:P63279	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:11853669|pubmed:DIP-3783S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-18858E	dip-quality-status:core	dip:0002(small scale)		-
DIP-76N|refseq:NP_000424|uniprotkb:P19878	DIP-2664N|refseq:NP_032703|uniprotkb:P97369	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9490029|pubmed:DIP-3784S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18860E	dip-quality-status:core	dip:0002(small scale)		-
DIP-17024N|uniprotkb:P46061	DIP-17027N|uniprotkb:Q93068	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:9019411|pubmed:DIP-3785S|pubmed:9019411|pubmed:DIP-3785S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18861E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-284N|refseq:NP_031657|uniprotkb:P25322	DIP-24176N|uniprotkb:P97377	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10348346|pubmed:DIP-3798S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40034E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24177N|refseq:NP_033959|uniprotkb:P30280	DIP-24178N|uniprotkb:P39689	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10348346|pubmed:DIP-3798S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40039E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24174N|uniprotkb:Q91XK7	DIP-24179N|uniprotkb:P51945	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)	-	pubmed:12167164|pubmed:DIP-3799S|pubmed:12167164|pubmed:DIP-3799S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40040E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-24179N|uniprotkb:P51945	DIP-24169N|uniprotkb:Q64364	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)	-	pubmed:12167164|pubmed:DIP-3799S|pubmed:12167164|pubmed:DIP-3799S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40041E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-24169N|uniprotkb:Q64364	DIP-24174N|uniprotkb:Q91XK7	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)	-	pubmed:12167164|pubmed:DIP-3799S|pubmed:12167164|pubmed:DIP-3799S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40042E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-24180N|uniprotkb:O08918	DIP-24169N|uniprotkb:Q64364	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12167164|pubmed:DIP-3799S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40043E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24180N|uniprotkb:O08918	DIP-24174N|uniprotkb:Q91XK7	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12167164|pubmed:DIP-3799S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40044E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24179N|uniprotkb:P51945	DIP-24181N|uniprotkb:Q60996	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12167164|pubmed:DIP-3799S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40045E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24181N|uniprotkb:Q60996	DIP-24180N|uniprotkb:O08918	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12167164|pubmed:DIP-3799S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40046E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24197N|uniprotkb:P29037	DIP-24196N|uniprotkb:P23804	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9388200|pubmed:DIP-3809S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40073E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24196N|uniprotkb:P23804	DIP-369N|refseq:NP_035770|uniprotkb:P02340	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:18695251|pubmed:DIP-12552S|pubmed:18359851|pubmed:DIP-4767S|pubmed:9653180|pubmed:DIP-3810S|pubmed:21857681|pubmed:DIP-16221S|pubmed:19556538|pubmed:DIP-16594S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-40079E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-5978N|uniprotkb:Q12888	DIP-369N|refseq:NP_035770|uniprotkb:P02340	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:8016121|pubmed:DIP-3844S|pubmed:8016121|pubmed:DIP-3844S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40140E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-24259N|uniprotkb:Q9DBW5	DIP-24228N|uniprotkb:Q64163	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0416(fluorescence microscopy)	-	pubmed:9878064|pubmed:DIP-3855S|pubmed:9878064|pubmed:DIP-3855S|pubmed:9878064|pubmed:DIP-3855S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40151E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-24259N|uniprotkb:Q9DBW5	DIP-24259N|uniprotkb:Q9DBW5	-	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:9878064|pubmed:DIP-3855S|pubmed:9878064|pubmed:DIP-3855S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40152E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-24247N|uniprotkb:P25801	DIP-24245N|uniprotkb:Q13363	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11751867|pubmed:DIP-3881S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40199E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24268N|uniprotkb:P08109	DIP-284N|refseq:NP_031657|uniprotkb:P25322	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12588994|pubmed:DIP-3888S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40214E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24178N|uniprotkb:P39689	DIP-24268N|uniprotkb:P08109	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12588994|pubmed:DIP-3888S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40215E	dip-quality-status:core	dip:0002(small scale)		-
DIP-194N|refseq:NP_034000|uniprotkb:P30285	DIP-24268N|uniprotkb:P08109	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12588994|pubmed:DIP-3888S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40216E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24169N|uniprotkb:Q64364	DIP-369N|refseq:NP_035770|uniprotkb:P02340	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9653180|pubmed:DIP-3810S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40078E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24172N|refseq:NP_002848|uniprotkb:P40855	DIP-24169N|uniprotkb:Q64364	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11259404|pubmed:DIP-3797S|pubmed:12154087|pubmed:DIP-3795S|pubmed:11259404|pubmed:DIP-3797S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40029E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-284N|refseq:NP_031657|uniprotkb:P25322	DIP-24178N|uniprotkb:P39689	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)	-	pubmed:12588994|pubmed:DIP-3888S|pubmed:10348346|pubmed:DIP-3798S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40035E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-24196N|uniprotkb:P23804	DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:9388200|pubmed:DIP-3809S|pubmed:9388200|pubmed:DIP-3809S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40074E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-24196N|uniprotkb:P23804	DIP-44N|refseq:NP_011075|uniprotkb:P13393	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:9388200|pubmed:DIP-3809S	taxid:10090(Mus musculus)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40076E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24196N|uniprotkb:P23804	DIP-24169N|uniprotkb:Q64364	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)	-	pubmed:10713175|pubmed:DIP-3889S|pubmed:9653180|pubmed:DIP-3810S|pubmed:9529248|pubmed:DIP-3887S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40077E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-24169N|uniprotkb:Q64364	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9529248|pubmed:DIP-3887S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40213E	dip-quality-status:core	dip:0002(small scale)		-
DIP-368N|uniprotkb:P04637	DIP-24201N|uniprotkb:O35618	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8895579|pubmed:DIP-3814S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40085E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24169N|uniprotkb:Q64364	DIP-24170N|uniprotkb:Q9NXV6	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:12154087|pubmed:DIP-3795S|pubmed:12154087|pubmed:DIP-3795S|pubmed:12581788|pubmed:DIP-3796S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40030E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-284N|refseq:NP_031657|uniprotkb:P25322	DIP-24175N|refseq:NP_034003|uniprotkb:Q64261	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10348346|pubmed:DIP-3798S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40033E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24178N|uniprotkb:P39689	DIP-24176N|uniprotkb:P97377	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10348346|pubmed:DIP-3798S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40036E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24178N|uniprotkb:P39689	DIP-194N|refseq:NP_034000|uniprotkb:P30285	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10348346|pubmed:DIP-3798S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40037E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24178N|uniprotkb:P39689	DIP-24175N|refseq:NP_034003|uniprotkb:Q64261	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10348346|pubmed:DIP-3798S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40038E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27619N|uniprotkb:Q9EPB4	DIP-27619N|uniprotkb:Q9EPB4	-	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11139337|pubmed:DIP-3933S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-44965E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27642N|uniprotkb:O09053	DIP-17027N|uniprotkb:Q93068	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0018(two hybrid)	-	pubmed:10806190|pubmed:DIP-3975S|pubmed:10806190|pubmed:DIP-3975S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45004E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-27643N|uniprotkb:O88700	DIP-29078N|uniprotkb:P63279	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10806190|pubmed:DIP-3975S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45005E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27642N|uniprotkb:O09053	DIP-29078N|uniprotkb:P63279	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10806190|pubmed:DIP-3975S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45003E	dip-quality-status:core	dip:0002(small scale)		-
DIP-28132N|uniprotkb:P46013	DIP-28137N|uniprotkb:Q61686	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:11793364|pubmed:DIP-4324S|pubmed:11793364|pubmed:DIP-4324S|pubmed:11793364|pubmed:DIP-4324S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-56663E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-28136N|uniprotkb:P23198	DIP-28132N|uniprotkb:P46013	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:11793364|pubmed:DIP-4324S|pubmed:11793364|pubmed:DIP-4324S|pubmed:11793364|pubmed:DIP-4324S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-56665E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29003N|refseq:NP_002574|uniprotkb:Q96IZ0	DIP-29001N|refseq:NP_038567|uniprotkb:O88838	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:16369487|pubmed:DIP-4354S|pubmed:16369487|pubmed:DIP-4354S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-57000E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29000N|refseq:NP_083311|uniprotkb:Q9D5L7	DIP-29003N|refseq:NP_002574|uniprotkb:Q96IZ0	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16369487|pubmed:DIP-4354S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-57001E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29002N|refseq:NP_660116|uniprotkb:Q8R5B6	DIP-29003N|refseq:NP_002574|uniprotkb:Q96IZ0	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16369487|pubmed:DIP-4354S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-57002E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6023N|uniprotkb:P08581	DIP-29001N|refseq:NP_038567|uniprotkb:O88838	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:16369487|pubmed:DIP-4354S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-57003E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29024N|refseq:NP_008846|uniprotkb:O75695	DIP-29025N|refseq:NP_062692|uniprotkb:Q9WUL7	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0053(fluorescence polarization spectroscopy)|MI:0053(fluorescence polarization spectroscopy)|MI:0071(molecular sieving)|MI:0415(enzymatic study)	-	pubmed:18376416|pubmed:DIP-11699S|pubmed:18376416|pubmed:DIP-11699S|pubmed:16472755|pubmed:DIP-4370S|pubmed:18376416|pubmed:DIP-11699S|pubmed:18376416|pubmed:DIP-11699S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57025E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
