ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7	DIP-25167N|uniprotkb:Q9GYJ3	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40974E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26989N|refseq:NP_497067|uniprotkb:Q9XWI6	DIP-25167N|uniprotkb:Q9GYJ3	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40975E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25167N|uniprotkb:Q9GYJ3	DIP-25758N|refseq:NP_740775|uniprotkb:Q9N2Z7	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40976E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25167N|uniprotkb:Q9GYJ3	DIP-26759N|refseq:NP_491757	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40977E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	DIP-24778N|refseq:NP_506875|uniprotkb:O62015	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40978E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	DIP-26977N|refseq:NP_741703|uniprotkb:O76566	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40980E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26170N|refseq:NP_498473|uniprotkb:P41886	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40981E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	DIP-25069N|refseq:NP_494128|uniprotkb:O44821	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40982E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24283N|refseq:NP_505173|uniprotkb:P90882	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40983E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25182N|refseq:NP_508494|uniprotkb:Q20709	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40984E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25094N|refseq:NP_492542|uniprotkb:O01934	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40985E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	DIP-25638N|refseq:NP_496335|uniprotkb:Q09580	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40986E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26953N|refseq:NP_492699|uniprotkb:O45797	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40987E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27376N|refseq:NP_497950|uniprotkb:Q22694	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40988E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	DIP-26161N|refseq:NP_500700|uniprotkb:Q27253	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40989E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25810N|refseq:NP_740929|uniprotkb:Q9NF23	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40990E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	DIP-26936N|refseq:NP_501617|uniprotkb:Q9XWR2	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40992E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	DIP-26544N|refseq:NP_501907|uniprotkb:Q9XXE5	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40993E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26959N|refseq:NP_502788|uniprotkb:Q21449	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40994E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26669N|refseq:NP_502579|uniprotkb:Q9U1W8	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40995E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24753N|refseq:NP_001024771|uniprotkb:Q21307	DIP-26371N|refseq:NP_491810|uniprotkb:Q8IG65	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40996E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25406N|refseq:NP_494772|uniprotkb:Q10923	DIP-26060N|refseq:NP_493483|uniprotkb:O17670	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40997E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26060N|refseq:NP_493483|uniprotkb:O17670	DIP-25056N|refseq:NP_501074|uniprotkb:Q17508	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40998E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26060N|refseq:NP_493483|uniprotkb:O17670	DIP-24552N|refseq:NP_502674|uniprotkb:O62020	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40999E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26060N|refseq:NP_493483|uniprotkb:O17670	DIP-24527N|refseq:NP_500719|uniprotkb:O44447	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-41000E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7	DIP-26806N|refseq:NP_504382|uniprotkb:O16500	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40561E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26445N|refseq:NP_502151|uniprotkb:O45603	DIP-25903N|uniprotkb:P81299	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40740E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26387N|refseq:NP_493477|uniprotkb:O18302	DIP-25137N|refseq:NP_492267|uniprotkb:P90771	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40878E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27055N|refseq:NP_510428|uniprotkb:Q93375	DIP-26827N|refseq:NP_502842|uniprotkb:Q9NA39	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40957E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-26586N|refseq:NP_495126|uniprotkb:Q09957	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40743E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25115N|refseq:NP_498811|uniprotkb:P34278	DIP-27283N|refseq:NP_508868|uniprotkb:P05690	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40516E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24603N|refseq:NP_508412|uniprotkb:Q22494	DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40581E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26835N|refseq:NP_495915|uniprotkb:Q18089	DIP-24998N|refseq:NP_508216|uniprotkb:Q9GYJ9	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40604E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25588N|refseq:NP_497915|uniprotkb:P47209	DIP-26187N|refseq:NP_501928|uniprotkb:Q19374	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40627E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26515N|refseq:NP_497991	DIP-25535N|refseq:NP_502094|uniprotkb:Q9XVV3	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40650E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27006N|refseq:NP_509334|uniprotkb:Q18529	DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40669E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24865N|refseq:NP_495909|uniprotkb:Q18094	DIP-26408N|refseq:NP_505632|uniprotkb:Q17935	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40692E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24434N|refseq:NP_493650|uniprotkb:P91080	DIP-27358N|uniprotkb:O16370	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40802E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26309N|refseq:NP_495137|uniprotkb:Q19290	DIP-25501N|refseq:NP_498286|uniprotkb:Q09248	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40843E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26159N|refseq:NP_502181|uniprotkb:Q19365	DIP-24530N|refseq:NP_494207|uniprotkb:O16580	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40868E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24823N|uniprotkb:P34537	DIP-24573N|refseq:NP_500480	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40891E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25307N|refseq:NP_497700|uniprotkb:Q09510	DIP-24380N|refseq:NP_497989|uniprotkb:P46941	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40914E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24330N|uniprotkb:Q9TZA7	DIP-27419N|refseq:NP_504393|uniprotkb:O16511	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40933E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27055N|refseq:NP_510428|uniprotkb:Q93375	DIP-24615N|refseq:NP_506164|uniprotkb:Q27532	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40956E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26536N|refseq:NP_492430|uniprotkb:O62082	DIP-25048N|refseq:NP_496492|uniprotkb:Q18668	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40979E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26806N|refseq:NP_504382|uniprotkb:O16500	DIP-24725N|refseq:NP_495540|uniprotkb:O02089	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40539E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27107N|refseq:NP_494936|uniprotkb:Q18238	DIP-26284N|refseq:NP_502841|uniprotkb:Q9NA40	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40826E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24380N|refseq:NP_497989|uniprotkb:P46941	DIP-25938N|refseq:NP_507096|uniprotkb:Q9XTV9	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40915E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25005N|refseq:NP_507643|uniprotkb:Q9U1T6	DIP-26806N|refseq:NP_504382|uniprotkb:O16500	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40563E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25535N|refseq:NP_502094|uniprotkb:Q9XVV3	DIP-25037N|refseq:NP_506626|uniprotkb:Q18688	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40651E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26867N|uniprotkb:Q9N4B8	DIP-25071N|refseq:NP_498392|uniprotkb:Q18033	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40738E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26806N|refseq:NP_504382|uniprotkb:O16500	DIP-27463N|refseq:NP_502557|uniprotkb:Q95PZ0	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40562E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25306N|refseq:NP_491220|uniprotkb:P91128	DIP-26806N|refseq:NP_504382|uniprotkb:O16500	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40531E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0	DIP-27337N|refseq:NP_505938|uniprotkb:Q9XXM6	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40577E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24602N|refseq:NP_492215|uniprotkb:Q21225	DIP-25173N|refseq:NP_492575|uniprotkb:Q9U3S0	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40578E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27127N|refseq:NP_506657|uniprotkb:Q23187	DIP-24998N|refseq:NP_508216|uniprotkb:Q9GYJ9	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40611E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25535N|refseq:NP_502094|uniprotkb:Q9XVV3	DIP-25705N|refseq:NP_505824|uniprotkb:O45622	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40653E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27333N|refseq:NP_491932|uniprotkb:O02482	DIP-25535N|refseq:NP_502094|uniprotkb:Q9XVV3	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40654E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27154N|refseq:NP_497849	DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40674E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26690N|refseq:NP_505969|uniprotkb:Q20798	DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40676E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	DIP-26123N|uniprotkb:Q9GYN1	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40677E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25993N|refseq:NP_495455|uniprotkb:Q22100	DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40678E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	DIP-26304N	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40679E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	DIP-24313N|refseq:NP_506195|uniprotkb:Q23332	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40680E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25964N|refseq:NP_501457|uniprotkb:Q17868	DIP-24868N|refseq:NP_494241	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40681E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26221N|refseq:NP_501456	DIP-27479N|refseq:NP_502517|uniprotkb:Q18547	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40682E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26977N|refseq:NP_741703|uniprotkb:O76566	DIP-26221N|refseq:NP_501456	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40683E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26221N|refseq:NP_501456	DIP-26266N|refseq:NP_501790|uniprotkb:Q19788	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40684E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26221N|refseq:NP_501456	DIP-25578N|refseq:NP_498754|uniprotkb:P34526	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40685E	dip-quality-status:	dip:0005(high throughput)		-
